,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
391,"הבג""צים",6.0,1.0,0.0,0.0,7.0
392,"ב""מוצא",14.0,0.0,0.0,0.0,14.0
393,"תשכ""ו",77.0,0.0,0.0,0.0,77.0
394,"ב""הבימה",20.0,0.0,0.0,0.0,20.0
395,"ו""ערב",7.0,0.0,0.0,0.0,7.0
396,"מ""ל",83.0,0.0,0.0,0.0,83.0
397,"תרס""ו",35.0,0.0,0.0,0.0,35.0
398,"ו""מי",7.0,0.0,0.0,0.0,7.0
399,"כ""פרשת",6.0,0.0,0.0,0.0,6.0
400,"אחה""צ",16.0,0.0,1.0,0.0,17.0
401,"ב""עושר",7.0,0.0,0.0,0.0,7.0
402,"ב""מועצת",9.0,1.0,0.0,0.0,10.0
403,"הנוע""ל",10.0,0.0,0.0,0.0,10.0
404,"ב""חדר",34.0,0.0,0.0,0.0,34.0
405,"התשכ""ח",8.0,0.0,0.0,0.0,8.0
406,"מח""ל",60.0,0.0,0.0,0.0,60.0
407,"תש""מ",44.0,0.0,0.0,0.0,44.0
408,"ה""מכבי",10.0,0.0,0.0,0.0,10.0
409,"כ""ט",131.0,0.0,0.0,0.0,131.0
410,"ו""ריקוד",9.0,0.0,0.0,0.0,9.0
411,"דוב""ב",7.0,0.0,0.0,0.0,7.0
412,"הר""ש",9.0,0.0,0.0,0.0,9.0
413,"בנח""ל",47.0,0.0,0.0,0.0,47.0
414,"הליש""ט",8.0,0.0,0.0,0.0,8.0
415,"המכ""מים",16.0,1.0,0.0,1.0,18.0
416,"כ""ס",93.0,1.0,0.0,0.0,94.0
417,"ח""נ",29.0,0.0,0.0,0.0,29.0
418,"הבג""ץ",6.0,0.0,0.0,0.0,6.0
419,"מל""טים",15.0,31.0,0.0,0.0,46.0
420,"מנכ""ל",483.0,43.0,0.0,0.0,526.0
421,"ב""היום",7.0,0.0,0.0,0.0,7.0
422,"מכ""מים",32.0,4.0,0.0,0.0,36.0
423,"סט""י",11.0,0.0,0.0,0.0,11.0
424,"האב""כ",23.0,0.0,0.0,0.0,23.0
425,"התנכ""י",22.0,0.0,0.0,0.0,22.0
426,"ל""שיר",12.0,0.0,0.0,0.0,12.0
427,"למנכ""ל",113.0,4.0,0.0,0.0,117.0
428,"לל""ג",10.0,0.0,0.0,0.0,10.0
429,"ו""סיפור",6.0,0.0,0.0,0.0,6.0
430,"ה""שפת",9.0,0.0,0.0,0.0,9.0
431,"ה""לב",6.0,0.0,0.0,0.0,6.0
432,"עב""מים",26.0,0.0,0.0,0.0,26.0
433,"ש""יש",11.0,1.0,0.0,0.0,12.0
434,"כ""בן",7.0,0.0,0.0,0.0,7.0
435,"רש""ר",29.0,0.0,0.0,0.0,29.0
436,"בי""ג",37.0,0.0,0.0,0.0,37.0
437,"רש""י",771.0,0.0,0.0,0.0,771.0
438,"זק""א",64.0,0.0,0.0,0.0,64.0
439,"שח""ר",13.0,0.0,0.0,0.0,13.0
440,"לימ""מ",16.0,0.0,0.0,0.0,16.0
441,"ו""רוח",6.0,0.0,0.0,0.0,6.0
442,"ו""אל",26.0,0.0,0.0,0.0,26.0
443,"חרד""לים",7.0,0.0,0.0,0.0,7.0
444,"וש""ס",6.0,2.0,0.0,0.0,8.0
445,"ו""נר",6.0,0.0,0.0,0.0,6.0
446,"תשנ""א",134.0,0.0,0.0,0.0,134.0
447,"השח""ם",14.0,0.0,0.0,0.0,14.0
448,"ורש""י",23.0,0.0,0.0,0.0,23.0
449,"המלבי""ם",46.0,0.0,0.0,0.0,46.0
450,"הרמב""ם",1359.0,0.0,0.0,0.0,1359.0
451,"הרד""ק",46.0,0.0,0.0,0.0,46.0
452,"שהרמב""ם",22.0,0.0,0.0,0.0,22.0
453,"ל""א",62.0,3.0,0.0,0.0,65.0
454,"מהר""ל",30.0,0.0,0.0,0.0,30.0
455,"לגר""א",8.0,0.0,0.0,0.0,8.0
456,"ברמב""ם",31.0,0.0,0.0,0.0,31.0
457,"בחב""ד",27.0,0.0,0.0,0.0,27.0
458,"מכ""מ",1.0,7.0,0.0,0.0,8.0
459,"מל""א",8.0,0.0,0.0,0.0,8.0
460,"יול""ב",18.0,0.0,0.0,0.0,18.0
461,"חב""ד",1061.0,1.0,0.0,0.0,1062.0
462,"הרמב""ן",329.0,0.0,0.0,0.0,329.0
463,"פלס""רי",6.0,0.0,0.0,0.0,6.0
464,"חל""כ",1.0,7.0,0.0,0.0,8.0
465,"של""ת",7.0,0.0,0.0,0.0,7.0
466,"הר""מ",6.0,0.0,0.0,0.0,6.0
467,"תשס""ח",231.0,0.0,0.0,0.0,231.0
468,"מד""א",69.0,9.0,0.0,0.0,78.0
469,"נ""צ",4.0,0.0,5.0,1.0,10.0
470,"ר""מים",10.0,0.0,0.0,0.0,10.0
471,"אכ""א",33.0,3.0,0.0,0.0,36.0
472,"בשל""ת",6.0,0.0,0.0,0.0,6.0
473,"אמ""ת",44.0,0.0,0.0,0.0,44.0
474,"תומ""ת",22.0,0.0,0.0,0.0,22.0
475,"הכטב""ם",4.0,2.0,0.0,0.0,6.0
476,"אירס""ו",6.0,0.0,0.0,0.0,6.0
477,"ה""קשת",6.0,0.0,0.0,0.0,6.0
478,"התומ""ת",14.0,0.0,0.0,0.0,14.0
479,"ל""טרור",3.0,3.0,0.0,0.0,6.0
480,"מש""ק",8.0,0.0,0.0,0.0,8.0
481,"מ""ט",25.0,0.0,0.0,0.0,25.0
482,"תהיל""ה",7.0,0.0,0.0,0.0,7.0
483,"תל""ג",12.0,2.0,0.0,0.0,14.0
484,"בע""מ",409.0,1.0,0.0,0.0,410.0
485,"האמל""ח",10.0,22.0,0.0,0.0,32.0
486,"תומ""תים",16.0,0.0,0.0,0.0,16.0
487,"טק""ק",3.0,13.0,0.0,0.0,16.0
488,"התומ""תים",8.0,0.0,0.0,0.0,8.0
489,"ב""ציר",6.0,6.0,0.0,0.0,12.0
490,"מח""י",2.0,12.0,0.0,0.0,14.0
491,"רש""ק",25.0,6.0,0.0,0.0,31.0
492,"ח""א",18.0,0.0,0.0,0.0,18.0
493,"ל""ערוץ",10.0,0.0,0.0,0.0,10.0
494,"ומנכ""ל",96.0,2.0,0.0,0.0,98.0
495,"הפלחי""ק",7.0,0.0,0.0,0.0,7.0
496,"הפלחה""ן",12.0,0.0,0.0,0.0,12.0
497,"שאש""ף",6.0,0.0,0.0,0.0,6.0
498,"שרמב""ן",10.0,0.0,0.0,0.0,10.0
499,"ב""רדיו",6.0,0.0,0.0,0.0,6.0
500,"שו""ב",16.0,0.0,0.0,0.0,16.0
501,"ל""יחידה",9.0,0.0,0.0,0.0,9.0
502,"מסת""ב",10.0,0.0,0.0,0.0,10.0
503,"ביל""ו",82.0,0.0,0.0,0.0,82.0
504,"בט""ש",49.0,2.0,0.0,0.0,51.0
505,"של""ג",18.0,0.0,0.0,0.0,18.0
506,"קד""ם",6.0,0.0,0.0,0.0,6.0
507,"בבא""ח",9.0,0.0,0.0,0.0,9.0
508,"לק""ג",22.0,0.0,0.0,0.0,22.0
509,"עמ""י",13.0,0.0,0.0,0.0,13.0
510,"פלחה""ן",28.0,0.0,0.0,0.0,28.0
511,"תנכ""י",6.0,0.0,0.0,0.0,6.0
512,"פלנ""ט",12.0,0.0,0.0,0.0,12.0
513,"בא""ח",16.0,0.0,0.0,0.0,16.0
514,"בנגמ""שי",11.0,0.0,0.0,0.0,11.0
515,"בנגמ""ש",11.0,0.0,0.0,0.0,11.0
516,"לנח""ל",13.0,0.0,0.0,0.0,13.0
517,"מהנח""ל",11.0,0.0,0.0,0.0,11.0
518,"יהל""ם",54.0,0.0,0.0,0.0,54.0
519,"הצל""שים",7.0,0.0,0.0,0.0,7.0
520,"רמטכ""לים",13.0,2.0,0.0,0.0,15.0
521,"הצה""לי",29.0,19.0,0.0,0.0,48.0
522,"לט""ו",30.0,0.0,0.0,0.0,30.0
523,"ו""ראש",10.0,0.0,0.0,0.0,10.0
524,"מהר""ם",50.0,0.0,0.0,0.0,50.0
525,"המל""ט",2.0,10.0,0.0,0.0,12.0
526,"המכ""ם",201.0,1.0,0.0,7.0,209.0
527,"הרע""ב",7.0,0.0,0.0,0.0,7.0
528,"א""י",144.0,0.0,0.0,0.0,144.0
529,"למתנ""סים",23.0,0.0,0.0,0.0,23.0
530,"תרצ""ב",54.0,0.0,0.0,0.0,54.0
531,"ב""קשת",16.0,0.0,0.0,0.0,16.0
532,"מלמ""ש",19.0,0.0,0.0,0.0,19.0
533,"קוט""ש",7.0,1.0,0.0,0.0,8.0
534,"ממ""ק",24.0,9.0,0.0,0.0,33.0
535,"הדו""חות",37.0,5.0,0.0,0.0,42.0
536,"ו""האם",6.0,0.0,0.0,0.0,6.0
537,"ה""נכונה",6.0,0.0,0.0,0.0,6.0
538,"תר""ס",21.0,0.0,0.0,0.0,21.0
539,"כרמטכ""ל",62.0,3.0,0.0,0.0,65.0
540,"ה""בריחה",8.0,0.0,0.0,0.0,8.0
541,"רמטכ""ל",79.0,24.0,0.0,0.0,103.0
542,"שהרמטכ""ל",5.0,9.0,0.0,0.0,14.0
543,"הרז""ה",8.0,0.0,0.0,0.0,8.0
544,"בדו""ח",193.0,63.0,0.0,0.0,256.0
545,"היעב""ץ",6.0,0.0,0.0,0.0,6.0
546,"והמנכ""ל",16.0,0.0,0.0,0.0,16.0
547,"החדו""א",10.0,0.0,0.0,0.0,10.0
548,"והמכ""ם",6.0,0.0,0.0,0.0,6.0
549,"הכטב""מים",1.0,29.0,0.0,0.0,30.0
550,"בכטב""מים",1.0,10.0,0.0,0.0,11.0
551,"הרבצ""ר",7.0,0.0,0.0,0.0,7.0
552,"ב""ועידת",6.0,2.0,0.0,0.0,8.0
553,"נאסד""ק",11.0,0.0,0.0,0.0,11.0
554,"דו""ח",648.0,101.0,0.0,0.0,749.0
555,"ל""חברה",7.0,0.0,0.0,0.0,7.0
556,"בנאסד""ק",25.0,0.0,0.0,0.0,25.0
557,"נ""י",7.0,0.0,0.0,0.0,7.0
558,"מטכ""לית",11.0,0.0,0.0,0.0,11.0
559,"ה""שביט",5.0,3.0,0.0,0.0,8.0
560,"בנאס""א",36.0,0.0,0.0,0.0,36.0
561,"מז""פ",8.0,1.0,1.0,0.0,10.0
562,"רגמ""ה",7.0,0.0,0.0,0.0,7.0
563,"במ""ח",13.0,0.0,0.0,0.0,13.0
564,"שנאס""א",9.0,0.0,0.0,0.0,9.0
565,"מאש""ף",6.0,0.0,0.0,0.0,6.0
566,"דוא""ל",28.0,2.0,0.0,0.0,30.0
567,"לסה""נ",21.0,0.0,0.0,0.0,21.0
568,"התנ""כי",100.0,0.0,0.0,0.0,100.0
569,"ה""טיטניק",10.0,0.0,0.0,0.0,10.0
570,"בתנ""ך",1173.0,1.0,0.0,0.0,1174.0
571,"יש""ע",126.0,0.0,0.0,0.0,126.0
572,"תמ""א",28.0,1.0,0.0,0.0,29.0
573,"לראי""ה",7.0,0.0,0.0,0.0,7.0
574,"האס""ד",6.0,0.0,0.0,0.0,6.0
575,"המטכ""לית",6.0,2.0,0.0,0.0,8.0
576,"המו""לים",21.0,0.0,0.0,0.0,21.0
577,"המו""ל",104.0,0.0,0.0,0.0,104.0
578,"הגא""פ",25.0,7.0,0.0,0.0,32.0
579,"המק""ס",2.0,10.0,0.0,0.0,12.0
580,"והדו""ח",7.0,1.0,0.0,0.0,8.0
581,"תרמ""ב",46.0,0.0,0.0,0.0,46.0
582,"הביל""ויים",34.0,0.0,0.0,0.0,34.0
583,"תרמ""ג",36.0,0.0,0.0,0.0,36.0
584,"מפח""ש",12.0,0.0,0.0,0.0,12.0
585,"המנכ""לים",2.0,12.0,0.0,0.0,14.0
586,"בחל""ת",2.0,4.0,0.0,0.0,6.0
587,"מאל""ו",15.0,0.0,0.0,0.0,15.0
588,"מ""ג",181.0,0.0,0.0,0.0,181.0
589,"האו""מ",1.0,5.0,0.0,0.0,6.0
590,"מכ""ם",351.0,10.0,0.0,0.0,361.0
591,"לבג""ץ",286.0,10.0,0.0,0.0,296.0
592,"שהדו""ח",3.0,5.0,0.0,0.0,8.0
593,"בכ""ב",21.0,0.0,0.0,0.0,21.0
594,"ה""אמוני",6.0,0.0,0.0,0.0,6.0
595,"ה""ארצי",8.0,0.0,0.0,0.0,8.0
596,"ל""מועצת",9.0,3.0,0.0,0.0,12.0
597,"ת""ר",20.0,0.0,0.0,0.0,20.0
598,"ר""ד",12.0,0.0,0.0,0.0,12.0
599,"ב""דר",6.0,0.0,0.0,0.0,6.0
600,"כ""מעשה",6.0,0.0,0.0,0.0,6.0
601,"ב""משמר",9.0,0.0,0.0,0.0,9.0
602,"ג""ט",6.0,0.0,0.0,0.0,6.0
603,"רמ""ח",27.0,0.0,0.0,0.0,27.0
604,"ה""אביב",2.0,13.0,0.0,0.0,15.0
605,"רשב""ם",70.0,0.0,0.0,0.0,70.0
606,"ח""ן",39.0,0.0,0.0,0.0,39.0
607,"תש""ח",240.0,0.0,0.0,0.0,240.0
608,"איו""ש",45.0,41.0,0.0,0.0,86.0
609,"צא""ח",11.0,0.0,0.0,0.0,11.0
610,"ש""לא",35.0,2.0,0.0,0.0,37.0
611,"ל""ד",45.0,0.0,0.0,0.0,45.0
612,"ד""א",14.0,0.0,0.0,0.0,14.0
613,"מח""ש",12.0,0.0,0.0,0.0,12.0
614,"ריה""ל",59.0,0.0,0.0,0.0,59.0
615,"קנ""א",45.0,0.0,0.0,0.0,45.0
616,"וארה""ב",1.0,11.0,0.0,0.0,12.0
617,"ה""צולפריין",6.0,0.0,0.0,0.0,6.0
618,"רד""ק",47.0,0.0,0.0,0.0,47.0
619,"רלב""ג",41.0,0.0,0.0,0.0,41.0
620,"ה""אזוריים",8.0,0.0,0.0,0.0,8.0
621,"רשב""י",81.0,0.0,0.0,0.0,81.0
622,"רס""ג",235.0,0.0,0.0,0.0,235.0
623,"הר""ן",43.0,0.0,0.0,0.0,43.0
624,"גא""פ",3.0,21.0,0.0,0.0,24.0
625,"ומזכ""ל",15.0,7.0,0.0,0.0,22.0
626,"ימ""מ",55.0,3.0,2.0,0.0,60.0
627,"ומג""ב",14.0,6.0,0.0,0.0,20.0
628,"אונר""א",107.0,47.0,0.0,0.0,154.0
629,"הנגמ""שים",28.0,1.0,0.0,0.0,29.0
630,"בס""ד",10.0,0.0,0.0,0.0,10.0
631,"בע""ה",6.0,0.0,0.0,0.0,6.0
632,"צמ""ה",105.0,0.0,0.0,0.0,105.0
633,"ואמל""ח",7.0,6.0,0.0,0.0,13.0
634,"ימ""ס",9.0,2.0,0.0,0.0,11.0
635,"והשב""כ",29.0,4.0,0.0,0.0,33.0
636,"והאו""ם",16.0,6.0,0.0,0.0,22.0
637,"לפת""ח",18.0,15.0,1.0,0.0,34.0
638,"ה""סכין",8.0,0.0,0.0,0.0,8.0
639,"הצמ""ה",80.0,0.0,0.0,0.0,80.0
640,"סד""כ",9.0,7.0,0.0,0.0,16.0
641,"אלו""ט",6.0,0.0,0.0,0.0,6.0
642,"ל""מדינה",13.0,2.0,0.0,0.0,15.0
643,"ל""טיהור",6.0,0.0,0.0,0.0,6.0
644,"ל""מסע",7.0,1.0,0.0,0.0,8.0
645,"מתפ""ש",1.0,5.0,0.0,0.0,6.0
646,"באיו""ש",23.0,20.0,0.0,0.0,43.0
647,"במו""מ",1.0,10.0,0.0,0.0,11.0
648,"סמ""ק",168.0,0.0,0.0,0.0,168.0
649,"מצה""ל",197.0,9.0,0.0,0.0,206.0
650,"אמל""ח",32.0,81.0,0.0,0.0,113.0
651,"לנגמ""שים",6.0,0.0,0.0,0.0,6.0
652,"פומ""ה",19.0,0.0,0.0,0.0,19.0
653,"משת""פים",3.0,0.0,10.0,0.0,13.0
654,"לנגמ""ש",18.0,1.0,0.0,0.0,19.0
655,"וחרל""פ",1.0,9.0,0.0,0.0,10.0
656,"בנמ""ר",10.0,0.0,0.0,0.0,10.0
657,"באמל""ח",5.0,4.0,0.0,0.0,9.0
658,"ה""יונבומבר",8.0,0.0,0.0,0.0,8.0
659,"פר""ג",6.0,0.0,0.0,0.0,6.0
660,"אי""ל",49.0,0.0,0.0,0.0,49.0
661,"מנת""ק",6.0,0.0,0.0,0.0,6.0
662,"ביסלמ""ח",9.0,0.0,0.0,0.0,9.0
663,"רח""ל",2.0,28.0,0.0,0.0,30.0
664,"נמר""ה",7.0,0.0,0.0,0.0,7.0
665,"ונמ""ר",7.0,0.0,0.0,0.0,7.0
666,"תרכ""ה",17.0,0.0,0.0,0.0,17.0
667,"תרצ""ה",87.0,0.0,0.0,0.0,87.0
668,"ש""ץ",23.0,0.0,0.0,0.0,23.0
669,"ה""צמח",15.0,0.0,0.0,0.0,15.0
670,"האדר""ת",23.0,0.0,0.0,0.0,23.0
671,"תרמ""ו",29.0,0.0,0.0,0.0,29.0
672,"תרמ""ח",23.0,0.0,0.0,0.0,23.0
673,"תרנ""א",24.0,0.0,0.0,0.0,24.0
674,"תרנ""ה",17.0,0.0,0.0,0.0,17.0
675,"בכ""ח",24.0,0.0,0.0,0.0,24.0
676,"תרס""ט",40.0,0.0,0.0,0.0,40.0
677,"תרע""ד",49.0,0.0,0.0,0.0,49.0
678,"בכ""ד",18.0,0.0,0.0,0.0,18.0
679,"ס""ג",6.0,0.0,0.0,0.0,6.0
680,"רמח""ל",37.0,0.0,0.0,0.0,37.0
681,"א""ד",59.0,0.0,0.0,0.0,59.0
682,"בל""ג",61.0,0.0,0.0,0.0,61.0
683,"חמ""ל",11.0,4.0,0.0,0.0,15.0
684,"תרפ""ז",51.0,0.0,0.0,0.0,51.0
685,"תרע""ב",44.0,0.0,0.0,0.0,44.0
686,"אביב""י",12.0,0.0,0.0,0.0,12.0
687,"רוב""צ",6.0,0.0,0.0,0.0,6.0
688,"החמ""ד",14.0,0.0,0.0,0.0,14.0
689,"תרע""ה",26.0,0.0,0.0,0.0,26.0
690,"תרע""ח",48.0,0.0,0.0,0.0,48.0
691,"תרצ""ד",65.0,0.0,0.0,0.0,65.0
692,"לרשב""ם",6.0,0.0,0.0,0.0,6.0
693,"ת""ש",78.0,0.0,0.0,1.0,79.0
694,"ל""רחוב",7.0,0.0,0.0,0.0,7.0
695,"בבה""ד",67.0,0.0,0.0,0.0,67.0
696,"בש""ס",32.0,0.0,0.0,0.0,32.0
697,"הגרי""ז",9.0,0.0,0.0,0.0,9.0
698,"הרשב""י",34.0,0.0,0.0,0.0,34.0
699,"ובתנ""ך",10.0,0.0,0.0,0.0,10.0
700,"לחפ""ק",7.0,0.0,1.0,0.0,8.0
701,"הנ""ל",565.0,7.0,0.0,0.0,572.0
702,"ב""שטחים",6.0,3.0,0.0,0.0,9.0
703,"ושב""כ",5.0,5.0,0.0,0.0,10.0
704,"ל""ז",24.0,0.0,0.0,0.0,24.0
705,"שז""ר",28.0,0.0,0.0,0.0,28.0
706,"הד""ר",55.0,1.0,0.0,0.0,56.0
707,"מלה""ע",6.0,1.0,0.0,0.0,7.0
708,"על""ה",9.0,0.0,0.0,0.0,9.0
709,"מע""צ",18.0,0.0,0.0,0.0,18.0
710,"ו""זמר",7.0,0.0,0.0,0.0,7.0
711,"ב""פסטיבל",15.0,0.0,0.0,0.0,15.0
712,"השב""חים",1.0,10.0,0.0,0.0,11.0
713,"ו""איך",9.0,0.0,0.0,0.0,9.0
714,"ו""בית",41.0,0.0,0.0,0.0,41.0
715,"אמ""י",36.0,0.0,0.0,0.0,36.0
716,"המג""דים",6.0,0.0,0.0,0.0,6.0
717,"א""ס",8.0,0.0,0.0,0.0,8.0
718,"אמ""ן",225.0,48.0,1.0,1.0,275.0
719,"פ""ט",7.0,0.0,0.0,0.0,7.0
720,"המא""ה",6.0,0.0,0.0,0.0,6.0
721,"במו""פ",4.0,2.0,0.0,0.0,6.0
722,"הרמ""ק",25.0,0.0,0.0,0.0,25.0
723,"ה""אור",5.0,1.0,0.0,0.0,6.0
724,"קל""ח",9.0,0.0,0.0,0.0,9.0
725,"תא""ל",159.0,26.0,0.0,0.0,185.0
726,"ח""ו",6.0,0.0,0.0,0.0,6.0
727,"רא""ש",9.0,0.0,0.0,0.0,9.0
728,"מהקב""ה",7.0,0.0,0.0,0.0,7.0
729,"ל""ספר",9.0,2.0,0.0,0.0,11.0
730,"תשב""ץ",7.0,0.0,0.0,0.0,7.0
731,"ה""היסטוריה",10.0,0.0,0.0,0.0,10.0
732,"תקמ""ב",9.0,0.0,0.0,0.0,9.0
733,"תקס""ח",6.0,0.0,0.0,0.0,6.0
734,"תקע""ו",6.0,0.0,0.0,0.0,6.0
735,"האריז""ל",7.0,0.0,0.0,0.0,7.0
736,"ב""כתבים",7.0,0.0,0.0,0.0,7.0
737,"תקצ""ז",19.0,0.0,0.0,0.0,19.0
738,"קמ""ר",1148.0,12.0,0.0,0.0,1160.0
739,"והתמ""ג",12.0,1.0,0.0,0.0,13.0
740,"כ""בית",31.0,0.0,0.0,0.0,31.0
741,"ובצה""ל",14.0,6.0,1.0,0.0,21.0
742,"הג""א",23.0,2.0,0.0,0.0,25.0
743,"לקמ""ר",125.0,1.0,0.0,0.0,126.0
744,"המהו""ת",7.0,0.0,0.0,0.0,7.0
745,"הטק""ק",2.0,4.0,0.0,0.0,6.0
746,"ה""אנשלוס",8.0,0.0,0.0,0.0,8.0
747,"ב""הסכם",8.0,1.0,0.0,0.0,9.0
748,"לדאע""ש",1.0,17.0,2.0,0.0,20.0
749,"הי""ח",13.0,0.0,0.0,0.0,13.0
750,"צה""לית",21.0,0.0,0.0,0.0,21.0
751,"הדוא""ל",18.0,2.0,0.0,0.0,20.0
752,"ממפא""י",24.0,0.0,0.0,0.0,24.0
753,"שב""ק",7.0,0.0,0.0,0.0,7.0
754,"ל""ג",149.0,0.0,0.0,0.0,149.0
755,"מתנ""ס",74.0,0.0,0.0,0.0,74.0
756,"המ""צ",14.0,0.0,0.0,0.0,14.0
757,"חמ""ץ",6.0,0.0,0.0,0.0,6.0
758,"בכ""ו",16.0,0.0,0.0,0.0,16.0
759,"ב""בייבלייד",9.0,0.0,0.0,0.0,9.0
760,"ל""עידן",6.0,2.0,0.0,0.0,8.0
761,"ב""גל",2.0,6.0,0.0,0.0,8.0
762,"ל""גדוד",6.0,0.0,0.0,0.0,6.0
763,"הפלי""ם",44.0,0.0,0.0,0.0,44.0
764,"ו""אח",8.0,0.0,0.0,0.0,8.0
765,"חי""ם",7.0,0.0,0.0,0.0,7.0
766,"למטכ""ל",18.0,1.0,0.0,0.0,19.0
767,"ע""ט",11.0,0.0,0.0,0.0,11.0
768,"כ""אחת",8.0,0.0,0.0,0.0,8.0
769,"כ""שפה",6.0,0.0,0.0,0.0,6.0
770,"האו""ם",1601.0,501.0,3.0,0.0,2105.0
771,"בעי""ן",7.0,0.0,0.0,0.0,7.0
772,"תשס""א",188.0,1.0,0.0,0.0,189.0
773,"ה""אנלים",6.0,0.0,0.0,0.0,6.0
774,"ל""ב",31.0,0.0,0.0,0.0,31.0
775,"לד""ר",54.0,7.0,0.0,0.0,61.0
776,"א""ז",9.0,0.0,0.0,0.0,9.0
777,"אונסק""ו",313.0,4.0,0.0,0.0,317.0
